image_id,send_time,ack_receive_time,RTT_ack,network_delay,preprocess_ms
run_20260504_193111_img_0086,1777903456.9339845,1777903457.987358,1.0533735752105713,0.5266867876052856,213.839
run_20260504_193111_img_0087,1777903458.2081926,1777903459.3928382,1.184645652770996,0.592322826385498,208.957
run_20260504_193111_img_0088,1777903459.6109283,1777903461.2083833,1.5974550247192383,0.7987275123596191,207.776
run_20260504_193111_img_0089,1777903461.3335998,1777903462.0337472,0.7001473903656006,0.3500736951828003,119.941
run_20260504_193111_img_0090,1777903462.1382844,1777903462.7087874,0.5705029964447021,0.2852514982223511,99.408
run_20260504_193111_img_0091,1777903462.8143125,1777903463.5125413,0.6982288360595703,0.34911441802978516,100.146
run_20260504_193111_img_0092,1777903463.6199675,1777903464.2935326,0.673565149307251,0.3367825746536255,101.855
run_20260504_193111_img_0093,1777903464.3963792,1777903466.76671,2.370330810546875,1.1851654052734375,98.064
run_20260504_193111_img_0094,1777903466.870201,1777903468.2211258,1.3509247303009033,0.6754623651504517,98.128
run_20260504_193111_img_0095,1777903468.326545,1777903469.9328594,1.6063144207000732,0.8031572103500366,99.609
run_20260504_193111_img_0096,1777903470.0372884,1777903471.4480302,1.4107418060302734,0.7053709030151367,99.627
run_20260504_193111_img_0097,1777903471.5505638,1777903472.889176,1.3386120796203613,0.6693060398101807,97.758
run_20260504_193111_img_0098,1777903472.9942467,1777903474.5565069,1.5622601509094238,0.7811300754547119,99.872
run_20260504_193111_img_0099,1777903474.664087,1777903475.2860363,0.6219491958618164,0.3109745979309082,102.25
run_20260504_193111_img_0100,1777903475.411118,1777903475.9861157,0.5749976634979248,0.2874988317489624,120.287
run_20260504_193111_img_0101,1777903476.1087298,1777903476.7232227,0.6144928932189941,0.30724644660949707,118.192
run_20260504_193111_img_0102,1777903476.8415167,1777903477.4313433,0.5898265838623047,0.29491329193115234,114.288
run_20260504_193111_img_0103,1777903477.553159,1777903478.4252677,0.8721086978912354,0.4360543489456177,117.42
run_20260504_193111_img_0104,1777903478.5446403,1777903479.1203306,0.5756902694702148,0.2878451347351074,115.3
run_20260504_193111_img_0105,1777903479.2506685,1777903481.1009998,1.8503313064575195,0.9251656532287598,125.165
run_20260504_193111_img_0106,1777903481.231985,1777903484.0228915,2.7909064292907715,1.3954532146453857,125.701
run_20260504_193111_img_0107,1777903484.1529756,1777903487.3097408,3.1567652225494385,1.5783826112747192,124.773
run_20260504_193111_img_0108,1777903487.4450333,1777903489.6328833,2.187849998474121,1.0939249992370605,129.023
run_20260504_193111_img_0109,1777903489.7660294,1777903490.6548116,0.888782262802124,0.444391131401062,127.369
run_20260504_193111_img_0110,1777903490.7925413,1777903491.6712322,0.8786909580230713,0.43934547901153564,130.958
run_20260504_193111_img_0111,1777903491.8097427,1777903492.870935,1.061192274093628,0.530596137046814,132.275
run_20260504_193111_img_0112,1777903493.006974,1777903493.7762806,0.7693066596984863,0.38465332984924316,129.499
run_20260504_193111_img_0113,1777903493.8985066,1777903494.4575558,0.559049129486084,0.279524564743042,117.938
run_20260504_193111_img_0114,1777903494.5883243,1777903495.2874036,0.6990792751312256,0.3495396375656128,125.456
run_20260504_193111_img_0115,1777903495.4164488,1777903496.049061,0.6326122283935547,0.31630611419677734,123.892
run_20260504_193111_img_0116,1777903496.1784146,1777903496.8692813,0.6908667087554932,0.3454333543777466,124.035
run_20260504_193111_img_0117,1777903496.997618,1777903497.6260512,0.6284332275390625,0.31421661376953125,123.107
run_20260504_193111_img_0118,1777903497.7537158,1777903498.3534505,0.5997347831726074,0.2998673915863037,122.009
run_20260504_193111_img_0119,1777903498.483006,1777903499.2012236,0.7182176113128662,0.3591088056564331,124.232
run_20260504_193111_img_0120,1777903499.3324554,1777903500.049245,0.716789722442627,0.3583948612213135,125.901
run_20260504_193111_img_0121,1777903500.1805182,1777903500.8081963,0.6276781558990479,0.3138390779495239,125.765
run_20260504_193111_img_0122,1777903500.9334815,1777903501.4828773,0.5493957996368408,0.2746978998184204,120.503
run_20260504_193111_img_0123,1777903501.609493,1777903502.1945412,0.5850481986999512,0.2925240993499756,121.409
run_20260504_193111_img_0124,1777903502.320557,1777903502.9085243,0.5879671573638916,0.2939835786819458,121.259
run_20260504_193111_img_0125,1777903503.0365975,1777903504.3798566,1.3432590961456299,0.6716295480728149,123.204
run_20260504_193111_img_0126,1777903504.5140996,1777903505.424103,0.9100034236907959,0.45500171184539795,128.54
run_20260504_193111_img_0127,1777903505.556531,1777903506.5057495,0.9492185115814209,0.47460925579071045,127.272
run_20260504_193111_img_0128,1777903506.6350536,1777903507.4095747,0.7745211124420166,0.3872605562210083,124.254
run_20260504_193111_img_0129,1777903507.5403376,1777903508.3300748,0.7897372245788574,0.3948686122894287,125.249
run_20260504_193111_img_0130,1777903508.4670923,1777903509.5614629,1.0943706035614014,0.5471853017807007,131.127
run_20260504_193111_img_0131,1777903509.6993146,1777903510.7980094,1.0986948013305664,0.5493474006652832,131.844
run_20260504_193111_img_0132,1777903510.938545,1777903512.0284853,1.0899403095245361,0.5449701547622681,134.254
run_20260504_193111_img_0133,1777903512.1662064,1777903513.1405296,0.9743232727050781,0.48716163635253906,131.78
run_20260504_193111_img_0134,1777903513.2757924,1777903514.3082318,1.0324394702911377,0.5162197351455688,129.245
run_20260504_193111_img_0135,1777903514.436814,1777903515.32343,0.8866159915924072,0.4433079957962036,123.333
run_20260504_193111_img_0136,1777903515.4463122,1777903515.9720128,0.525700569152832,0.262850284576416,118.708
run_20260504_193111_img_0137,1777903516.0985398,1777903516.7867196,0.6881797313690186,0.3440898656845093,121.724
run_20260504_193111_img_0138,1777903516.916858,1777903517.7315204,0.8146624565124512,0.4073312282562256,124.7
run_20260504_193111_img_0139,1777903517.8627536,1777903518.9027243,1.0399706363677979,0.5199853181838989,125.788
run_20260504_193111_img_0140,1777903519.0310843,1777903520.8098452,1.7787609100341797,0.8893804550170898,123.167
run_20260504_193111_img_0141,1777903520.9315777,1777903522.362065,1.4304873943328857,0.7152436971664429,117.41
run_20260504_193111_img_0142,1777903522.4828055,1777903526.5306187,4.047813177108765,2.0239065885543823,116.414
run_20260504_193111_img_0143,1777903526.652713,1777903528.6209488,1.968235731124878,0.984117865562439,117.771
run_20260504_193111_img_0144,1777903528.7468357,1777903529.6155553,0.8687195777893066,0.4343597888946533,121.114
run_20260504_193111_img_0145,1777903529.7400177,1777903530.5125225,0.7725048065185547,0.38625240325927734,119.67
run_20260504_193111_img_0146,1777903530.6327586,1777903531.3200011,0.6872425079345703,0.34362125396728516,116.349
run_20260504_193111_img_0147,1777903531.4392,1777903531.9283192,0.489119291305542,0.244559645652771,114.857
run_20260504_193111_img_0148,1777903532.0521984,1777903532.6380877,0.5858893394470215,0.29294466972351074,118.986
run_20260504_193111_img_0149,1777903532.7575626,1777903533.3288248,0.5712621212005615,0.28563106060028076,115.537
run_20260504_193111_img_0150,1777903533.4462352,1777903533.908765,0.46252989768981934,0.23126494884490967,113.453
run_20260504_193111_img_0151,1777903534.0353706,1777903534.7741392,0.7387685775756836,0.3693842887878418,121.585
run_20260504_193111_img_0152,1777903534.9010913,1777903535.4797156,0.5786242485046387,0.28931212425231934,121.686
run_20260504_193111_img_0153,1777903535.6143997,1777903536.3312118,0.7168121337890625,0.35840606689453125,128.417
run_20260504_193111_img_0154,1777903536.4618495,1777903537.0529096,0.5910601615905762,0.2955300807952881,125.333
run_20260504_193111_img_0155,1777903537.1766412,1777903537.914266,0.7376248836517334,0.3688124418258667,119.146
run_20260504_193111_img_0156,1777903538.0370228,1777903538.6853213,0.6482985019683838,0.3241492509841919,118.744
run_20260504_193111_img_0157,1777903538.8249383,1777903539.878822,1.0538837909698486,0.5269418954849243,133.282
run_20260504_193111_img_0158,1777903540.0093825,1777903541.0647285,1.0553460121154785,0.5276730060577393,125.578
run_20260504_193111_img_0159,1777903541.195358,1777903541.9973502,0.8019921779632568,0.4009960889816284,125.02
run_20260504_193111_img_0160,1777903542.1262825,1777903543.0561764,0.929893970489502,0.464946985244751,123.731
run_20260504_193111_img_0161,1777903543.1816895,1777903543.8960905,0.7144010066986084,0.3572005033493042,120.955
run_20260504_193111_img_0162,1777903544.0214012,1777903544.678916,0.6575148105621338,0.3287574052810669,120.5
run_20260504_193111_img_0163,1777903544.8043401,1777903545.5226567,0.7183165550231934,0.3591582775115967,120.376
run_20260504_193111_img_0164,1777903545.6481662,1777903546.6136878,0.9655215740203857,0.48276078701019287,120.71
run_20260504_193111_img_0165,1777903546.74186,1777903547.4265625,0.6847026348114014,0.3423513174057007,120.977
run_20260504_193111_img_0166,1777903547.5501442,1777903548.2884347,0.738290548324585,0.3691452741622925,119.116
run_20260504_193111_img_0167,1777903548.4165018,1777903549.15553,0.7390282154083252,0.3695141077041626,122.829
run_20260504_193111_img_0168,1777903549.2819602,1777903549.9952652,0.7133049964904785,0.35665249824523926,120.589
run_20260504_193111_img_0169,1777903550.121666,1777903550.786913,0.6652469635009766,0.3326234817504883,121.8
run_20260504_193111_img_0170,1777903550.910051,1777903551.5592644,0.6492133140563965,0.32460665702819824,118.685
run_20260504_193111_img_0171,1777903551.6937392,1777903552.6785219,0.9847826957702637,0.49239134788513184,128.068
run_20260504_193111_img_0172,1777903552.8055253,1777903553.6406898,0.8351645469665527,0.41758227348327637,121.935
run_20260504_193111_img_0173,1777903553.7672384,1777903554.670092,0.9028537273406982,0.4514268636703491,121.869
run_20260504_193111_img_0174,1777903554.794369,1777903555.3863485,0.5919795036315918,0.2959897518157959,119.677
run_20260504_193111_img_0175,1777903555.5101235,1777903556.0923707,0.582247257232666,0.291123628616333,119.264
run_20260504_193111_img_0176,1777903556.2229385,1777903557.035776,0.8128373622894287,0.40641868114471436,124.55
run_20260504_193111_img_0177,1777903557.1657243,1777903557.9367287,0.7710044384002686,0.3855022192001343,124.193
run_20260504_193111_img_0178,1777903558.04426,1777903558.8925595,0.848299503326416,0.424149751663208,102.533
run_20260504_193111_img_0179,1777903558.9972167,1777903559.7145913,0.7173745632171631,0.35868728160858154,99.6
run_20260504_193111_img_0180,1777903559.819954,1777903560.4442675,0.6243135929107666,0.3121567964553833,100.125
run_20260504_193111_img_0181,1777903560.5491412,1777903561.2772007,0.7280595302581787,0.36402976512908936,100.025
run_20260504_193111_img_0182,1777903561.4147043,1777903562.3170815,0.9023771286010742,0.4511885643005371,131.679
run_20260504_193111_img_0183,1777903562.4526145,1777903563.2780097,0.8253951072692871,0.41269755363464355,130.274
run_20260504_193111_img_0184,1777903563.4163241,1777903564.259775,0.8434507846832275,0.42172539234161377,131.932
run_20260504_193111_img_0185,1777903564.3983326,1777903565.4008179,1.0024852752685547,0.5012426376342773,132.115
run_20260504_193111_img_0186,1777903565.537688,1777903566.3027043,0.7650163173675537,0.38250815868377686,131.581
run_20260504_193111_img_0187,1777903566.438522,1777903567.27536,0.8368380069732666,0.4184190034866333,130.346
run_20260504_193111_img_0188,1777903567.4087439,1777903568.1973736,0.7886297702789307,0.39431488513946533,127.697
run_20260504_193111_img_0189,1777903568.3347788,1777903569.5590694,1.2242906093597412,0.6121453046798706,131.294
run_20260504_193111_img_0190,1777903569.701474,1777903570.543811,0.8423371315002441,0.42116856575012207,135.861
run_20260504_193111_img_0191,1777903570.6892562,1777903571.5636249,0.8743686676025391,0.43718433380126953,139.192
run_20260504_193111_img_0192,1777903571.7104878,1777903572.542612,0.8321242332458496,0.4160621166229248,139.734
run_20260504_193111_img_0193,1777903572.6819801,1777903573.4697418,0.7877616882324219,0.39388084411621094,133.635
run_20260504_193111_img_0194,1777903573.6075294,1777903574.3413591,0.7338297367095947,0.36691486835479736,132.155
run_20260504_193111_img_0195,1777903574.4763184,1777903575.3543756,0.8780572414398193,0.43902862071990967,129.563
run_20260504_193111_img_0196,1777903575.4947793,1777903576.439183,0.9444036483764648,0.4722018241882324,134.337
run_20260504_193111_img_0197,1777903576.5769627,1777903577.5648746,0.9879119396209717,0.49395596981048584,131.962
run_20260504_193111_img_0198,1777903577.7038472,1777903578.4491494,0.7453022003173828,0.3726511001586914,132.947
run_20260504_193111_img_0199,1777903578.5843847,1777903579.1901376,0.6057529449462891,0.30287647247314453,129.601
run_20260504_193111_img_0200,1777903579.3270292,1777903579.9867902,0.6597609519958496,0.3298804759979248,131.231
run_20260504_193111_img_0201,1777903580.1247535,1777903580.8525395,0.7277860641479492,0.3638930320739746,132.221
run_20260504_193111_img_0202,1777903580.9880543,1777903581.637336,0.6492817401885986,0.3246408700942993,130.025
run_20260504_193111_img_0203,1777903581.774175,1777903582.469116,0.6949410438537598,0.3474705219268799,131.132
