image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_192755_img_0282,14,2,0,2,14,0.0,0.0,0.0
run_20260501_192755_img_0283,14,3,0,3,14,0.0,0.0,0.0
run_20260501_192755_img_0284,10,2,0,2,10,0.0,0.0,0.0
run_20260501_192755_img_0285,19,1,0,1,19,0.0,0.0,0.0
run_20260501_192755_img_0286,8,8,0,8,8,0.0,0.0,0.0
run_20260501_192755_img_0287,9,17,0,17,9,0.0,0.0,0.0
run_20260501_192755_img_0288,14,10,0,10,14,0.0,0.0,0.0
run_20260501_192755_img_0289,15,3,0,3,15,0.0,0.0,0.0
run_20260501_192755_img_0290,15,5,0,5,15,0.0,0.0,0.0
run_20260501_192755_img_0291,10,15,0,15,10,0.0,0.0,0.0
run_20260501_192755_img_0292,9,2,0,2,9,0.0,0.0,0.0
run_20260501_192755_img_0293,19,1,0,1,19,0.0,0.0,0.0
run_20260501_192755_img_0294,12,2,0,2,12,0.0,0.0,0.0
run_20260501_192755_img_0295,37,4,0,4,37,0.0,0.0,0.0
run_20260501_192755_img_0296,52,2,0,2,52,0.0,0.0,0.0
run_20260501_192755_img_0297,22,2,0,2,22,0.0,0.0,0.0
run_20260501_192755_img_0298,22,2,0,2,22,0.0,0.0,0.0
run_20260501_192755_img_0299,37,6,0,6,37,0.0,0.0,0.0
run_20260501_192755_img_0300,30,3,0,3,30,0.0,0.0,0.0
run_20260501_192755_img_0301,0,1,0,1,0,0.0,0.0,0.0
run_20260501_192755_img_0302,0,2,0,2,0,0.0,0.0,0.0
run_20260501_192755_img_0303,0,10,0,10,0,0.0,0.0,0.0
run_20260501_192755_img_0304,0,0,0,0,0,0.0,0.0,0.0
run_20260501_192755_img_0305,0,18,0,18,0,0.0,0.0,0.0
run_20260501_192755_img_0306,0,14,0,14,0,0.0,0.0,0.0
run_20260501_192755_img_0307,0,17,0,17,0,0.0,0.0,0.0
run_20260501_192755_img_0308,0,13,0,13,0,0.0,0.0,0.0
run_20260501_192755_img_0309,0,14,0,14,0,0.0,0.0,0.0
run_20260501_192755_img_0310,0,13,0,13,0,0.0,0.0,0.0
run_20260501_192755_img_0311,0,3,0,3,0,0.0,0.0,0.0
run_20260501_192755_img_0312,0,9,0,9,0,0.0,0.0,0.0
run_20260501_192755_img_0313,0,5,0,5,0,0.0,0.0,0.0
run_20260501_192755_img_0314,0,4,0,4,0,0.0,0.0,0.0
run_20260501_192755_img_0315,0,8,0,8,0,0.0,0.0,0.0
run_20260501_192755_img_0316,0,4,0,4,0,0.0,0.0,0.0
run_20260501_192755_img_0317,0,3,0,3,0,0.0,0.0,0.0
run_20260501_192755_img_0318,0,2,0,2,0,0.0,0.0,0.0
run_20260501_192755_img_0319,0,8,0,8,0,0.0,0.0,0.0
run_20260501_192755_img_0320,0,10,0,10,0,0.0,0.0,0.0
run_20260501_192755_img_0321,0,1,0,1,0,0.0,0.0,0.0
run_20260501_192755_img_0322,0,5,0,5,0,0.0,0.0,0.0
run_20260501_192755_img_0323,0,8,0,8,0,0.0,0.0,0.0
run_20260501_192755_img_0324,0,4,0,4,0,0.0,0.0,0.0
run_20260501_192755_img_0325,0,16,0,16,0,0.0,0.0,0.0
run_20260501_192755_img_0326,0,17,0,17,0,0.0,0.0,0.0
run_20260501_192755_img_0327,0,6,0,6,0,0.0,0.0,0.0
run_20260501_192755_img_0328,0,13,0,13,0,0.0,0.0,0.0
run_20260501_192755_img_0329,0,3,0,3,0,0.0,0.0,0.0
run_20260501_192755_img_0330,0,9,0,9,0,0.0,0.0,0.0
__aggregate__,13894,3612,480,3132,13414,0.1329,0.0345,0.0548
