image_id,inference_start,inference_end,latency,queue_wait_ms
run_20260504_193111_img_0143,1777903528.8752062,1777903528.9172497,0.042043447494506836,0.673
run_20260504_193111_img_0144,1777903530.1036909,1777903530.1452658,0.041574954986572266,0.0
run_20260504_193111_img_0145,1777903530.9908724,1777903531.0351634,0.044291019439697266,0.0
run_20260504_193111_img_0146,1777903531.7916074,1777903531.8289287,0.03732132911682129,0.534
run_20260504_193111_img_0147,1777903532.4240453,1777903532.4612682,0.037222862243652344,0.537
run_20260504_193111_img_0148,1777903533.1259549,1777903533.1679537,0.041998863220214844,1.386
run_20260504_193111_img_0149,1777903533.8117409,1777903533.8507187,0.038977861404418945,0.0
run_20260504_193111_img_0150,1777903534.392737,1777903534.4311378,0.038400888442993164,0.0
run_20260504_193111_img_0151,1777903535.2192738,1777903535.2592306,0.03995680809020996,0.0
run_20260504_193111_img_0152,1777903535.9715593,1777903536.012762,0.04120278358459473,0.0
run_20260504_193111_img_0153,1777903536.8238118,1777903536.8688521,0.04504036903381348,0.0
run_20260504_193111_img_0154,1777903537.534039,1777903537.5776808,0.04364180564880371,0.0
run_20260504_193111_img_0155,1777903538.3946047,1777903538.4391634,0.04455876350402832,0.638
run_20260504_193111_img_0156,1777903539.153953,1777903539.1954787,0.04152560234069824,0.634
run_20260504_193111_img_0157,1777903540.3458543,1777903540.3892918,0.04343748092651367,0.0
run_20260504_193111_img_0158,1777903541.5452342,1777903541.5891755,0.04394125938415527,0.0
run_20260504_193111_img_0159,1777903542.4926643,1777903542.537119,0.04445457458496094,0.0
run_20260504_193111_img_0160,1777903543.5522609,1777903543.5950692,0.04280829429626465,0.538
run_20260504_193111_img_0161,1777903544.3933153,1777903544.435369,0.0420536994934082,0.0
run_20260504_193111_img_0162,1777903545.1754093,1777903545.2190068,0.04359745979309082,0.54
run_20260504_193111_img_0163,1777903545.984442,1777903546.0317793,0.04733729362487793,0.0
run_20260504_193111_img_0164,1777903547.0132406,1777903547.0544431,0.041202545166015625,0.513
run_20260504_193111_img_0165,1777903547.9217098,1777903547.958991,0.03728127479553223,0.0
run_20260504_193111_img_0166,1777903548.7838354,1777903548.8424838,0.05864834785461426,0.0
run_20260504_193111_img_0167,1777903549.6513133,1777903549.6949997,0.0436863899230957,0.0
run_20260504_193111_img_0168,1777903550.4940004,1777903550.5310245,0.03702402114868164,0.625
run_20260504_193111_img_0169,1777903551.2786217,1777903551.3210726,0.042450904846191406,0.53
run_20260504_193111_img_0170,1777903552.051983,1777903552.108895,0.05691194534301758,0.634
run_20260504_193111_img_0171,1777903553.171984,1777903553.2172914,0.04530739784240723,0.533
run_20260504_193111_img_0172,1777903554.136723,1777903554.183491,0.0467679500579834,0.529
run_20260504_193111_img_0173,1777903555.1693196,1777903555.2154984,0.04617881774902344,0.0
run_20260504_193111_img_0174,1777903555.8805933,1777903555.9250624,0.04446911811828613,0.516
run_20260504_193111_img_0175,1777903556.589496,1777903556.639098,0.04960203170776367,0.0
run_20260504_193111_img_0176,1777903557.5308394,1777903557.568789,0.037949562072753906,0.0
run_20260504_193111_img_0177,1777903558.4311583,1777903558.4718947,0.04073643684387207,0.516
run_20260504_193111_img_0178,1777903559.3896604,1777903559.4352741,0.045613765716552734,0.0
run_20260504_193111_img_0179,1777903560.1798103,1777903560.2232292,0.04341888427734375,0.0
run_20260504_193111_img_0180,1777903560.9437685,1777903560.9891129,0.04534435272216797,0.54
run_20260504_193111_img_0181,1777903561.760757,1777903561.8021328,0.04137587547302246,0.0
run_20260504_193111_img_0182,1777903562.8176413,1777903562.8592772,0.041635990142822266,0.0
run_20260504_193111_img_0183,1777903563.7737427,1777903563.8190486,0.04530596733093262,0.0
run_20260504_193111_img_0184,1777903564.75193,1777903564.7990465,0.04711651802062988,0.538
run_20260504_193111_img_0185,1777903565.8978367,1777903565.9394627,0.0416259765625,0.0
run_20260504_193111_img_0186,1777903566.8017552,1777903566.8449728,0.04321765899658203,0.627
run_20260504_193111_img_0187,1777903567.7666826,1777903567.809051,0.042368412017822266,0.0
run_20260504_193111_img_0188,1777903568.6967406,1777903568.7413151,0.04457449913024902,0.0
run_20260504_193111_img_0189,1777903569.966559,1777903570.0091956,0.04263663291931152,0.521
run_20260504_193111_img_0190,1777903571.0416687,1777903571.082916,0.04124736785888672,0.0
run_20260504_193111_img_0191,1777903572.0610087,1777903572.1089797,0.04797101020812988,0.0
run_20260504_193111_img_0192,1777903573.0391247,1777903573.0815082,0.042383432388305664,2.005
run_20260504_193111_img_0193,1777903573.968502,1777903574.0130806,0.04457855224609375,0.0
run_20260504_193111_img_0194,1777903574.8405597,1777903574.879042,0.0384821891784668,0.0
run_20260504_193111_img_0195,1777903575.8464205,1777903575.8889587,0.04253816604614258,0.6
run_20260504_193111_img_0196,1777903576.937535,1777903576.9791846,0.041649580001831055,0.0
run_20260504_193111_img_0197,1777903578.0201821,1777903578.0592031,0.03902101516723633,0.0
run_20260504_193111_img_0198,1777903578.8950117,1777903578.9449577,0.04994606971740723,0.0
run_20260504_193111_img_0199,1777903579.6916475,1777903579.7329907,0.04134321212768555,0.0
run_20260504_193111_img_0200,1777903580.4904442,1777903580.5330265,0.04258227348327637,0.0
run_20260504_193111_img_0201,1777903581.3427734,1777903581.3829482,0.04017472267150879,0.0
run_20260504_193111_img_0202,1777903582.1325138,1777903582.1715546,0.03904080390930176,0.0
run_20260504_193111_img_0203,1777903582.9651058,1777903583.0110967,0.045990943908691406,0.0
run_20260504_193111_img_0204,1777903584.0441036,1777903584.0881433,0.04403972625732422,0.0
run_20260504_193111_img_0205,1777903584.9156609,1777903584.961203,0.045542240142822266,0.0
