image_id,preprocess_ms,inference_latency_ms,total_latency_ms
run_20260501_174749_img_0142,142.643,1804.633,1947.276
run_20260501_174749_img_0143,147.795,1799.329,1947.125
run_20260501_174749_img_0144,146.482,1802.426,1948.908
run_20260501_174749_img_0145,144.225,1812.06,1956.286
run_20260501_174749_img_0146,139.054,1803.397,1942.451
run_20260501_174749_img_0147,146.621,1799.878,1946.498
run_20260501_174749_img_0148,144.293,1807.524,1951.817
run_20260501_174749_img_0149,145.784,1797.688,1943.472
run_20260501_174749_img_0150,146.284,1807.793,1954.077
run_20260501_174749_img_0151,147.801,1807.45,1955.251
run_20260501_174749_img_0152,140.555,1803.586,1944.141
run_20260501_174749_img_0153,151.77,1809.506,1961.276
run_20260501_174749_img_0154,143.531,1804.802,1948.333
run_20260501_174749_img_0155,143.755,1800.275,1944.03
run_20260501_174749_img_0156,142.371,1805.739,1948.11
run_20260501_174749_img_0157,148.95,1801.631,1950.582
run_20260501_174749_img_0158,141.735,1801.882,1943.617
run_20260501_174749_img_0159,144.241,1794.876,1939.117
run_20260501_174749_img_0160,144.741,1802.718,1947.459
run_20260501_174749_img_0161,147.186,1809.48,1956.667
run_20260501_174749_img_0162,147.719,1799.217,1946.935
run_20260501_174749_img_0163,146.902,1799.977,1946.879
run_20260501_174749_img_0164,142.775,1801.953,1944.728
run_20260501_174749_img_0165,145.337,1798.768,1944.105
run_20260501_174749_img_0166,146.378,1805.733,1952.112
run_20260501_174749_img_0167,147.113,1795.776,1942.889
run_20260501_174749_img_0168,143.606,1800.199,1943.805
run_20260501_174749_img_0169,145.997,1808.84,1954.836
run_20260501_174749_img_0170,146.334,1801.168,1947.502
run_20260501_174749_img_0171,145.118,1800.631,1945.749
run_20260501_174749_img_0172,143.412,1812.101,1955.513
run_20260501_174749_img_0173,141.397,1797.492,1938.89
run_20260501_174749_img_0174,141.529,1802.531,1944.061
run_20260501_174749_img_0175,143.346,1798.701,1942.048
run_20260501_174749_img_0176,143.669,1798.909,1942.578
run_20260501_174749_img_0177,142.949,1808.516,1951.466
run_20260501_174749_img_0178,132.575,1804.055,1936.631
run_20260501_174749_img_0179,128.426,1795.805,1924.231
run_20260501_174749_img_0180,139.431,1799.244,1938.675
run_20260501_174749_img_0181,130.653,1799.574,1930.227
run_20260501_174749_img_0182,147.46,1800.444,1947.904
run_20260501_174749_img_0183,147.359,1798.129,1945.488
run_20260501_174749_img_0184,147.919,1805.121,1953.04
run_20260501_174749_img_0185,149.149,1808.849,1957.998
run_20260501_174749_img_0186,147.042,1801.582,1948.625
run_20260501_174749_img_0187,147.207,1803.894,1951.101
run_20260501_174749_img_0188,144.654,1803.184,1947.839
run_20260501_174749_img_0189,147.813,1797.078,1944.891
run_20260501_174749_img_0190,149.173,1802.18,1951.353
run_20260501_174749_img_0191,150.99,1796.566,1947.556
run_20260501_174749_img_0192,153.566,1799.308,1952.875
run_20260501_174749_img_0193,148.06,1808.657,1956.717
run_20260501_174749_img_0194,149.185,1801.542,1950.727
run_20260501_174749_img_0195,146.561,1795.457,1942.017
run_20260501_174749_img_0196,149.43,1827.638,1977.068
run_20260501_174749_img_0197,148.487,1798.66,1947.147
run_20260501_174749_img_0198,148.482,1800.787,1949.269
run_20260501_174749_img_0199,147.902,1797.022,1944.924
run_20260501_174749_img_0200,148.652,1804.632,1953.284
run_20260501_174749_img_0201,149.294,1803.646,1952.94
run_20260501_174749_img_0202,147.941,1800.291,1948.232
run_20260501_174749_img_0203,147.525,1797.604,1945.129
run_20260501_174749_img_0204,152.087,1801.469,1953.556
run_20260501_174749_img_0205,150.161,1799.199,1949.36
