image_id,preprocess_ms,network_delay_ms,inference_latency_ms,total_latency_ms
20260504_193111_img_0055,132.945,340.5178785324096,44.7604656219482,518.2233441543578
20260504_193111_img_0056,120.362,402.9691219329834,44.6205139160156,567.951635848999
20260504_193111_img_0057,123.667,473.310112953186,43.2686805725097,640.2457935256957
20260504_193111_img_0058,122.044,272.0080614089966,44.142961502075096,438.1950229110717
20260504_193111_img_0059,124.915,361.8775606155395,43.5807704925537,530.3733311080932
20260504_193111_img_0060,117.121,413.844347000122,40.3077602386474,571.2731072387694
20260504_193111_img_0061,120.561,462.863564491272,42.800188064575096,626.2247525558471
20260504_193111_img_0062,96.843,419.0849065780639,43.2660579681396,559.1939645462035
20260504_193111_img_0063,96.314,402.2876024246216,41.7017936706543,540.3033960952758
20260504_193111_img_0064,94.935,1752.2470951080322,45.0799465179443,1892.2620416259765
20260504_193111_img_0065,98.369,1099.7909307479858,43.728828430175696,1241.8887591781615
20260504_193111_img_0066,97.609,983.384609222412,46.3497638702392,1127.343373092651
20260504_193111_img_0067,97.162,783.3758592605591,44.6858406066894,925.2236998672486
20260504_193111_img_0068,116.404,698.7261772155762,42.8903102874755,858.0204875030516
20260504_193111_img_0069,116.86,595.919132232666,45.351505279541,758.130637512207
20260504_193111_img_0070,116.363,723.7434387207031,42.6945686340332,882.8010073547364
20260504_193111_img_0071,119.112,595.4360961914062,45.6221103668212,760.1702065582274
20260504_193111_img_0072,118.028,861.3061904907227,44.0714359283447,1023.4056264190674
20260504_193111_img_0073,115.413,734.6220016479492,71.6626644134521,921.6976660614014
20260504_193111_img_0074,117.796,640.6606435775757,41.9032573699951,800.3599009475708
20260504_193111_img_0075,115.776,602.2063493728638,35.9184741973876,753.9008235702513
20260504_193111_img_0076,112.91,606.4883470535278,45.5338954925537,764.9322425460815
20260504_193111_img_0077,116.705,556.2914609909058,46.0410118103027,719.0374728012085
20260504_193111_img_0078,113.327,615.7071590423584,42.820930480957,771.8550895233154
20260504_193111_img_0079,113.236,572.7642774581909,43.8916683197021,729.891945777893
20260504_193111_img_0080,112.235,674.209713935852,45.4351902008056,831.8799041366576
20260504_193111_img_0081,120.257,925.3510236740112,43.7920093536376,1089.4000330276488
20260504_193111_img_0082,189.922,792.7008867263794,46.5779304504394,1029.2008171768189
20260504_193111_img_0083,208.066,877.124547958374,43.0819988250732,1128.2725467834473
20260504_193111_img_0084,197.861,884.1893672943115,40.1711463928222,1122.2215136871337
20260504_193111_img_0085,209.431,347.6831912994385,46.0386276245117,603.1528189239502
20260504_193111_img_0086,213.839,526.6867876052856,45.4547405242919,785.9805281295776
20260504_193111_img_0087,208.957,592.322826385498,39.8766994476318,841.1565258331299
20260504_193111_img_0088,207.776,798.7275123596191,45.5031394958496,1052.0066518554688
20260504_193111_img_0089,119.941,350.0736951828003,46.9050407409668,516.9197359237671
20260504_193111_img_0090,99.408,285.2514982223511,45.2272891998291,429.8867874221802
20260504_193111_img_0091,100.146,349.1144180297851,44.2264080047607,493.4868260345458
20260504_193111_img_0092,101.855,336.7825746536255,42.7119731903076,481.3495478439331
20260504_193111_img_0093,98.064,1185.1654052734375,45.933723449707,1329.1631287231446
20260504_193111_img_0094,98.128,675.4623651504517,45.7854270935058,819.3757922439574
20260504_193111_img_0095,99.609,803.1572103500366,42.9725646972656,945.7387750473024
20260504_193111_img_0096,99.627,705.3709030151367,41.7695045471191,846.7674075622558
20260504_193111_img_0097,97.758,669.3060398101807,44.954776763916,812.0188165740967
20260504_193111_img_0098,99.872,781.1300754547119,38.39111328125,919.393188735962
20260504_193111_img_0099,102.25,310.9745979309082,43.9133644104003,457.1379623413085
20260504_193111_img_0100,120.287,287.4988317489624,45.2823638916015,453.0681956405639
20260504_193111_img_0101,118.192,307.246446609497,39.9036407470703,465.3420873565673
20260504_193111_img_0102,114.288,294.9132919311523,39.0021800994873,448.2034720306396
